"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"200000026","18:39:00","18:39:00","107","1","Lancaster","0","18:39:00","1"
"200000026","18:51:00","18:51:00","106","2","Lancaster","0","18:51:00","1"
"200000026","18:58:00","18:58:00","102","3","Lancaster","0","18:58:00","1"
"200000026","19:04:00","19:04:00","186","4","Lancaster","0","19:04:00","1"
"200000026","19:08:00","19:08:00","129","5","Lancaster","0","19:08:00","1"
"200000026","19:16:00","19:16:00","110","6","Lancaster","0","19:16:00","1"
"200000026","19:32:00","19:32:00","175","7","Lancaster","0","19:32:00","1"
"200000026","19:40:00","19:40:00","111","8","Lancaster","0","19:40:00","1"
"200000026","19:46:00","19:46:00","164","9","Lancaster","0","19:46:00","1"
"200000026","19:52:00","19:52:00","161","10","Lancaster","0","19:52:00","1"
"200000026","20:31:00","20:31:00","165","11","Lancaster","0","20:31:00","1"
"200000026","20:41:00","20:41:00","163","12","Lancaster","0","20:41:00","1"
"200000026","20:53:00","20:53:00","162","13","Lancaster","0","20:53:00","1"
"200000029","18:35:00","18:35:00","141","1","Riverside - Downtown","0","18:35:00","1"
"200000029","18:45:00","18:45:00","140","2","Riverside - Downtown","0","18:45:00","1"
"200000029","18:52:00","18:52:00","156","3","Riverside - Downtown","0","18:52:00","1"
"200000029","18:58:00","18:58:00","154","4","Riverside - Downtown","0","18:58:00","1"
"200000029","19:04:00","19:04:00","145","5","Riverside - Downtown","0","19:04:00","1"
"200000029","19:11:00","19:11:00","171","6","Riverside - Downtown","0","19:11:00","1"
"200000029","19:30:00","19:30:00","173","7","Riverside - Downtown","0","19:30:00","1"
"200000029","19:36:00","19:36:00","147","8","Riverside - Downtown","0","19:36:00","1"
"200000029","19:44:00","19:44:00","148","9","Riverside - Downtown","0","19:44:00","1"
"200000029","20:00:00","20:00:00","123","10","Riverside - Downtown","0","20:00:00","1"
"200000030","12:59:00","12:59:00","185","1","Oceanside","0","12:59:00","1"
"200000030","13:03:00","13:03:00","124","2","Oceanside","0","13:03:00","1"
"200000030","13:19:00","13:19:00","123","3","Oceanside","0","13:19:00","1"
"200000030","13:31:00","13:31:00","148","4","Oceanside","0","13:31:00","1"
"200000030","13:39:00","13:39:00","147","5","Oceanside","0","13:39:00","1"
"200000030","13:44:00","13:44:00","173","6","Oceanside","0","13:44:00","1"
"200000030","14:04:00","14:04:00","171","7","Oceanside","0","14:04:00","1"
"200000030","14:10:00","14:10:00","145","8","Oceanside","0","14:10:00","1"
"200000030","14:16:00","14:16:00","154","9","Oceanside","0","14:16:00","1"
"200000030","14:22:00","14:22:00","156","10","Oceanside","0","14:22:00","1"
"200000030","14:29:00","14:29:00","140","11","Oceanside","0","14:29:00","1"
"200000030","14:39:00","14:39:00","141","12","Oceanside","0","14:39:00","1"
"200000030","14:45:00","14:45:00","153","13","Oceanside","0","14:45:00","1"
"200000030","14:55:00","14:55:00","152","14","Oceanside","0","14:55:00","1"
"200000030","15:23:00","15:23:00","144","15","Oceanside","0","15:23:00","1"
"200000121","17:54:00","17:54:00","107","1","Moorpark","0","17:54:00","1"
"200000121","18:05:00","18:05:00","106","2","Moorpark","0","18:05:00","1"
"200000121","18:12:00","18:12:00","102","3","Moorpark","0","18:12:00","1"
"200000121","18:17:00","18:17:00","170","4","Moorpark","0","18:17:00","1"
"200000121","18:24:00","18:24:00","113","5","Moorpark","0","18:24:00","1"
"200000121","18:32:00","18:32:00","167","6","Moorpark","0","18:32:00","1"
"200000121","18:38:00","18:38:00","103","7","Moorpark","0","18:38:00","1"
"200000121","18:50:00","18:50:00","112","8","Moorpark","0","18:50:00","1"
"200000121","19:05:00","19:05:00","108","9","Moorpark","0","19:05:00","1"
"200000213","11:39:00","11:39:00","107","1","Lancaster","0","11:39:00","1"
"200000213","11:51:00","11:51:00","106","2","Lancaster","0","11:51:00","1"
"200000213","11:58:00","11:58:00","102","3","Lancaster","0","11:58:00","1"
"200000213","12:04:00","12:04:00","186","4","Lancaster","0","12:04:00","1"
"200000213","12:08:00","12:08:00","129","5","Lancaster","0","12:08:00","1"
"200000213","12:16:00","12:16:00","110","6","Lancaster","0","12:16:00","1"
"200000213","12:32:00","12:32:00","175","7","Lancaster","0","12:32:00","1"
"200000213","12:40:00","12:40:00","111","8","Lancaster","0","12:40:00","1"
"200000213","12:46:00","12:46:00","164","9","Lancaster","0","12:46:00","1"
"200000213","12:52:00","12:52:00","161","10","Lancaster","0","12:52:00","1"
"200000213","13:31:00","13:31:00","165","11","Lancaster","0","13:31:00","1"
"200000213","13:41:00","13:41:00","163","12","Lancaster","0","13:41:00","1"
"200000213","13:53:00","13:53:00","162","13","Lancaster","0","13:53:00","1"
"200000218","12:11:00","12:11:00","162","1","L.A. Union Station","0","12:11:00","1"
"200000218","12:20:00","12:20:00","163","2","L.A. Union Station","0","12:20:00","1"
"200000218","12:32:00","12:32:00","165","3","L.A. Union Station","0","12:32:00","1"
"200000218","13:10:00","13:10:00","161","4","L.A. Union Station","0","13:10:00","1"
"200000218","13:13:00","13:13:00","164","5","L.A. Union Station","0","13:13:00","1"
"200000218","13:20:00","13:20:00","111","6","L.A. Union Station","0","13:20:00","1"
"200000218","13:28:00","13:28:00","175","7","L.A. Union Station","0","13:28:00","1"
